index,Speicherzeitpunkt,Profil-ID,Rolle,0SD01,0SD01B,0SD02,0SD03,0SD04,0SD05,0SD06,1AD01,1AD02,1AD03,1SM01,1SM02,1SM03,1BV01,1BV02,1BV03,1BV04,1GD01,1GD02,1PF01,1PF02,1KD01,1KD02,2KF01,2KF02,2KF03,2KF04,2SP01,2SP02,2SP03,2DF01,2DF02,2VF01,2VF02,2SF01,2SF02,2VH01,2VH02,2VH03,3FV01,3FV02,3FV03,3WT01,3WT02,3WT03,12KF01,3EX01,3EX02,3EX03,3EX04,3FA01,3FA02,3FA03,3TA01,3TA02,3TA03,4TF01,4TF02,4TF03,4TF04,4KF01,4KF02,4KF03,4KF04,4KF05,4BM01,4BM02,4BM03,4BM04,4FK01,4FK02,4FK03,4HU01,4HU02,4EM01,4EM02,4EM03,4HB01,4HB02,5SW01,5SW02,5SW03,5SV01,5SV02,5SV03,5SV04,5SV05,5SV06,5SV07,6BF01,6BF02,6BF03,6BF04,6FK01,6FK02,6FK03,6FK04,6LF01,6LF02,6LF03,6MF01,6MF02,6MF03,6MF04,7GE01,7GE02,7GE03,7GE04,7GE05,7GE06,7GE07,7GE08,7GE09,7GE10,8RE01,8RE02,8RE03,8RE04,8RE05,8RE06,8RE07,9ZH01,9ZH02,9ZH03,9ZH04,9OF01,9OF02,9OF03,9OF04,12KF02,9AB01,9AB02,9AB03,9AB04,9EF01,9EF02,9PM01,9PM02,9PM03,9PM04,9KS01,9KS02,9GF01,9GF02,9GF03,9GF04,10IN01,10IN02,10IE01,10IE02,10IE03,10IE04,10KR01,10KR02,10IG01,10IG02,10EF01,10EF02,10IF01,10IF02,11KO01,11KO02,11KO03,11WO01,11WO02,11IK01,11IK02,11AF01,11AF02
0,30.07.2025 10:18,120,,IT / Software / Digitalisierung,,Geschäftsführung,15,15,Ja,51,4,4,5,5,4,4,4,3,4,4,4,2,4,5,2,1,3,1,4,1,4,4,1,1,4,2,4,4,4,1,1,5,5,2,2,4,4,4,1,4,4,3,2,4,4,5,4,4,4,5,5,1,5,5,5,5,5,2,2,1,3,4,4,1,5,1,1,3,3,1,4,4,5,5,5,2,5,5,5,5,5,5,2,4,5,4,5,5,5,2,3,5,3,2,5,5,5,4,2,1,5,4,1,2,4,2,1,5,3,1,5,5,5,3,5,5,4,5,5,3,3,5,2,2,3,4,4,5,5,4,4,2,3,4,3,3,4,4,5,5,3,5,5,5,5,4,4,3,3,3,3,3,3,4,1,1,3,4,4,2,4,5
1,30.07.2025 13:04,258,,Sonstige,Organisationsberatung Kompetenzentwicklung und Beratung,Selbstständig,25,25,Nein,1,5,2,5,3,5,4,4,4,3,4,5,5,3,4,4,4,3,5,5,4,2,5,2,5,5,5,5,5,3,5,3,4,5,1,3,3,3,3,1,4,5,4,5,5,4,4,4,5,3,3,4,4,4,4,4,4,4,4,3,5,4,3,3,2,4,3,4,4,5,5,4,4,5,3,4,3,4,3,5,5,4,4,4,3,4,3,4,4,2,3,5,5,4,4,5,3,3,4,4,2,3,3,3,4,4,3,1,4,4,5,4,5,5,5,5,4,4,4,3,2,4,4,2,4,3,4,4,4,4,4,3,2,3,5,2,5,5,4,5,4,5,4,4,5,4,5,5,4,4,4,3,4,4,5,4,5,3,3,3,4,5,5
2,31.07.2025 11:21,907,,Bildung / Wissenschaft / Forschung,,Production System Dynamics,3,15,Nein,42,4,1,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,5,1,5,1,4,5,5,5,5,1,4,4,5,5,1,4,4,4,4,1,5,5,5,4,5,5,4,5,4,4,5,4,2,5,5,5,5,5,5,4,5,5,4,4,1,4,5,5,2,4,4,4,5,4,4,4,4,5,3,4,4,5,4,4,4,5,2,4,5,4,4,4,4,4,4,5,4,2,5,4,2,4,5,5,4,4,3,4,4,5,3,4,5,4,4,5,4,3,4,3,2,4,4,2,4,3,4,4,5,4,3,4,3,4,4,3,4,5,4,5,4,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,5,4,4,4,5,4,5
3,01.08.2025 11:05,137,,Industrie / Produktion,,Produktionsplanung,2,24,Ja,55,4,2,4,5,4,4,5,5,5,5,5,5,5,4,5,5,3,5,5,3,2,4,3,4,4,4,4,3,3,5,3,4,5,2,3,5,5,3,1,3,4,3,5,4,3,4,4,5,4,4,4,3,5,5,5,4,4,3,2,5,5,4,4,2,3,3,5,3,4,3,3,3,4,2,4,4,4,4,5,5,5,2,4,4,4,3,4,5,4,2,3,5,4,3,4,4,4,3,3,2,4,3,2,3,4,4,2,5,3,4,3,4,3,3,4,4,4,4,4,2,4,4,2,4,3,4,4,3,4,4,5,2,4,4,3,4,4,4,4,5,5,4,5,3,4,5,3,5,4,3,5,3,4,4,4,5,4,3,4,3,3,3
4,11.08.2025 10:56,192,,Bildung / Wissenschaft / Forschung,,Digitales Lernen,"29,1","29,1",Nein,33,3,4,5,4,4,3,4,5,5,5,4,4,3,3,5,5,3,4,3,3,3,4,4,3,3,5,4,3,3,4,5,4,5,2,4,5,5,4,1,4,4,3,4,5,4,4,4,5,4,5,5,2,5,5,4,4,4,4,3,5,5,5,4,2,4,4,5,2,4,4,5,4,4,4,4,5,4,3,3,4,3,3,3,4,3,2,3,5,4,2,4,3,5,1,3,2,3,5,5,4,3,4,5,4,4,2,1,3,4,4,2,3,3,4,4,3,3,4,3,4,3,3,2,4,4,3,3,3,4,4,4,2,3,4,3,5,4,4,4,4,3,3,5,4,5,4,3,3,3,4,3,3,4,4,5,5,4,4,5,4,3,4
5,12.08.2025 08:43,888,,Bildung / Wissenschaft / Forschung,,smart Mobility,"31,12","31,12",Nein,24,4,2,4,5,5,4,4,3,3,5,5,5,5,4,4,5,2,4,3,3,4,2,3,4,5,4,4,3,2,4,3,4,5,2,3,4,3,4,1,4,4,4,5,5,5,5,4,5,3,3,4,4,5,5,4,4,4,4,2,4,4,4,5,2,4,3,5,3,4,4,4,5,5,5,4,3,4,4,4,4,5,4,2,4,4,4,5,5,5,3,3,4,3,2,3,3,5,5,3,2,3,4,5,3,4,4,1,4,4,2,2,3,3,2,4,4,4,4,5,2,4,4,2,4,2,4,5,2,3,4,5,2,4,4,2,4,4,4,4,5,4,3,4,4,4,5,5,5,5,5,4,4,5,3,4,5,4,4,5,4,3,4
6,18.08.2025 23:17,380,,Bildung / Wissenschaft / Forschung,,Maschinenbau,"0,83","0,83",Ja,26,4,2,4,4,5,3,4,4,4,4,4,4,4,4,4,4,3,5,3,4,3,4,2,4,4,3,3,4,2,3,5,4,5,2,4,4,5,3,1,5,4,4,4,4,4,4,4,5,5,4,4,2,5,5,5,4,5,4,5,5,4,5,4,2,4,5,5,3,4,3,4,3,4,4,5,3,5,3,5,5,5,5,3,4,5,3,4,4,4,3,4,4,4,3,4,5,4,4,4,3,3,3,3,3,3,3,3,4,3,2,3,4,4,3,4,4,3,4,4,2,4,4,2,4,2,4,4,4,4,4,4,3,4,4,2,5,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
